City_ID,City,Date,Lat,Lng,Max Temp,Humidity,Country,Cloudiness,Wind Speed
99,Karratha,2022-03-25 01:11:12,-20.7377,116.8463,89.01,54,AU,70,2.3
100,Aklavik,2022-03-25 01:13:46,68.2191,-135.0107,4.41,89,CA,99,11.79
101,Ugento,2022-03-25 01:13:47,39.9263,18.1574,51.1,58,IT,0,6.44
102,Thompson,2022-03-25 01:13:47,55.7435,-97.8558,28.56,93,CA,100,20.71
103,Alofi,2022-03-25 01:13:48,-19.0595,-169.9187,79.3,79,NU,100,18.68
104,Morgan City,2022-03-25 01:13:48,29.6994,-91.2068,62.6,55,US,0,13.8
105,Barrow,2022-03-25 01:09:19,71.2906,-156.7887,3.22,78,US,0,16.11
106,La Rioja,2022-03-25 01:13:49,42.25,-2.5,38.98,94,ES,100,4.0
107,Khovu-Aksy,2022-03-25 01:13:49,51.1333,93.6,10.54,84,RU,100,4.45
108,Atbasar,2022-03-25 01:13:50,51.8,68.3333,30.06,90,KZ,100,14.12
109,Lincoln,2022-03-25 01:09:09,40.8,-96.667,46.0,72,US,0,5.75
110,Ambilobe,2022-03-25 01:13:50,-13.2,49.05,73.87,95,MG,100,1.72
111,Roberval,2022-03-25 01:12:21,48.5168,-72.2324,34.47,99,CA,100,8.41
112,Mandalgovi,2022-03-25 01:13:51,45.7625,106.2708,24.69,29,MN,6,11.54
113,Serov,2022-03-25 01:11:07,59.6033,60.5787,32.83,87,RU,99,10.49
114,Kysyl-Syr,2022-03-25 01:13:52,63.8986,122.7617,13.08,95,RU,99,2.35
115,Saint-Augustin,2022-03-25 01:13:52,51.226,-58.6502,15.51,91,CA,100,4.94
116,Cabinda,2022-03-25 01:13:53,-5.55,12.2,79.32,93,AO,35,6.8
117,Presidencia Roque Saenz Pena,2022-03-25 01:13:53,-26.7852,-60.4388,59.34,52,AR,1,5.64
118,Gold Coast,2022-03-25 01:13:54,-28.0,153.4333,83.89,73,AU,67,8.05
119,Sabha,2022-03-25 01:13:54,27.0377,14.4283,52.68,37,LY,0,13.58
120,Lumeje,2022-03-25 01:13:54,-11.55,20.7833,65.03,91,AO,11,3.69
121,Vieux Fort,2022-03-25 01:13:55,13.7167,-60.95,78.12,69,LC,40,25.32
122,Usinsk,2022-03-25 01:13:55,65.9939,57.5281,5.27,87,RU,27,13.09
123,Santiago Del Estero,2022-03-25 01:11:24,-27.7951,-64.2615,61.02,54,AR,0,8.28
124,Godhra,2022-03-25 01:13:56,22.75,73.6333,78.73,25,IN,10,5.48
125,Palmerston,2022-03-25 01:13:57,-12.486,130.9833,85.98,70,AU,0,1.14
126,Dikson,2022-03-25 01:13:57,73.5069,80.5464,9.23,90,RU,89,15.93
127,Pandan,2022-03-25 01:13:58,14.0453,124.1694,83.07,78,PH,15,10.94
128,Tiksi,2022-03-25 01:13:59,71.6872,128.8694,-2.33,90,RU,93,0.47
129,Kahului,2022-03-25 01:13:59,20.8947,-156.47,82.42,47,US,20,17.27
130,Carnarvon,2022-03-25 01:13:59,-24.8667,113.6333,91.47,35,AU,100,12.66
131,Codrington,2022-03-25 01:14:00,-38.2667,141.9667,66.81,53,AU,9,9.22
132,Przhevalskoye,2022-03-25 01:14:00,55.5093,31.8482,25.02,98,RU,40,1.61
133,Gamba,2022-03-25 01:14:01,-2.65,10.0,78.84,91,GA,100,5.08
134,Broome,2022-03-25 01:14:01,42.2506,-75.833,47.68,81,US,75,9.22
135,Torbay,2022-03-25 01:14:02,47.6666,-52.7314,29.57,77,CA,100,8.01
136,Port Alfred,2022-03-25 01:14:02,-33.5906,26.891,67.37,80,ZA,82,11.36
137,Saskylakh,2022-03-25 01:14:03,71.9167,114.0833,-10.98,100,RU,100,4.32
138,Pevek,2022-03-25 01:14:03,69.7008,170.3133,5.47,94,RU,98,6.69
139,Cusuna,2022-03-25 01:15:04,15.85,-85.2333,76.78,84,HN,52,6.06
140,Hithadhoo,2022-03-25 01:15:04,-0.6,73.0833,83.64,68,MV,6,20.8
141,Praia Da Vitoria,2022-03-25 01:15:05,38.7333,-27.0667,60.76,94,PT,75,23.78
142,Smithers,2022-03-25 01:13:32,54.7804,-127.1743,42.21,60,CA,100,2.62
143,Kununurra,2022-03-25 01:11:10,-15.7667,128.7333,89.76,53,AU,76,3.96
144,Znamenskoye,2022-03-25 01:15:06,57.1281,73.8282,20.59,90,RU,100,10.54
145,Severo-Yeniseyskiy,2022-03-25 01:15:06,60.3725,93.0408,13.24,96,RU,100,0.72
146,Clinton,2022-03-25 01:10:15,42.587,-82.9199,45.95,79,US,100,3.0
147,Chokurdakh,2022-03-25 01:15:07,70.6333,147.9167,-4.7,97,RU,74,0.72
148,Jalu,2022-03-25 01:15:07,29.0331,21.5482,51.75,43,LY,0,9.19
149,Fairbanks,2022-03-25 01:12:12,64.8378,-147.7164,36.25,42,US,0,4.61
150,Carutapera,2022-03-25 01:15:08,-1.195,-46.02,75.33,96,BR,100,4.05
151,Hovd,2022-03-25 01:15:08,48.0056,91.6419,20.16,34,MN,1,8.99
