City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
904,Faanui,PF,82.71,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
908,Vao,NC,78.53,light rain,-22.6667,167.4833,Hotel Kou-Bugny
911,Saint-Philippe,RE,85.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
912,Kokopo,PG,80.71,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
914,Bambous Virieux,MU,85.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
917,Bandarbeyla,SO,83.53,clear sky,9.4942,50.8122,JABIR HOTEL
923,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,People ThankYou
925,Mahebourg,MU,84.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
926,Sungai Padi,TH,89.38,scattered clouds,6.0851,101.8766,237บอล&บาส
927,Tera,NE,88.97,clear sky,14.0078,0.7531,Hotel Dar es salam
929,Buala,SB,80.74,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
932,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
937,Saint-Philippe,RE,85.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
938,Mucurapo,TT,75.25,overcast clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
939,Kismayo,SO,86.67,clear sky,-0.3582,42.5454,Agan-Hotel
952,Bambanglipuro,ID,84.02,scattered clouds,-7.95,110.2833,Puri Brata
955,Port-Gentil,GA,78.76,broken clouds,-0.7193,8.7815,Fengshui Residence
962,Hambantota,LK,89.94,few clouds,6.1241,81.1185,Bungalow 63
968,Matara,LK,86.97,few clouds,5.9485,80.5353,Amaloh Boutique Resort
970,Anloga,GH,84.61,scattered clouds,5.7947,0.8973,Pin Drop Hotel
971,Atuona,PF,78.87,broken clouds,-9.8,-139.0333,Villa Enata
977,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
983,Bambous Virieux,MU,85.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
984,San Andres,CO,80.62,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
988,Ishigaki,JP,75.33,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
1016,Isangel,VU,79.74,broken clouds,-19.55,169.2667,Tanna Lodge
1018,Atuona,PF,78.87,broken clouds,-9.8,-139.0333,Villa Enata
1020,Arlit,NE,88.74,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
1022,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
1031,Hobyo,SO,85.87,clear sky,5.3505,48.5268,Iftin hotel hobyo
1034,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,People ThankYou
1036,Hambantota,LK,89.94,few clouds,6.1241,81.1185,Bungalow 63
1045,Carnarvon,AU,82.47,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
1057,Berbera,SO,85.96,broken clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
1062,Harper,LR,81.75,light rain,4.375,-7.7169,Screensaver
1064,Tuy Hoa,VN,80.76,scattered clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
1065,Saint-Philippe,RE,85.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
1072,Kavaratti,IN,84.06,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
1073,Butaritari,KI,81.19,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
1078,Hithadhoo,MV,82.02,clear sky,-0.6,73.0833,Scoop Guest House
1079,Biltine,TD,88.07,few clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
1088,Labuhan,ID,84.7,broken clouds,-6.8844,112.2051,DoubleFAG
1089,Atuona,PF,78.87,broken clouds,-9.8,-139.0333,Villa Enata
1093,Lhokseumawe,ID,85.21,scattered clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
1104,Hobyo,SO,85.87,clear sky,5.3505,48.5268,Iftin hotel hobyo
1105,Hervey Bay,AU,81.01,light rain,-25.2986,152.8535,Shelly Bay Resort
1119,Atuona,PF,78.87,broken clouds,-9.8,-139.0333,Villa Enata
1120,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
1125,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,People ThankYou
1128,Morondava,MG,86.5,clear sky,-20.2833,44.2833,La Case Bambou
1129,Bredasdorp,ZA,78.89,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
1130,Biak,ID,79.45,light rain,-0.9131,122.8766,Penginapan Kim
1132,Bredasdorp,ZA,78.89,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
1138,Butaritari,KI,81.19,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
1144,Mount Isa,AU,89.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
1162,Tautira,PF,81.43,few clouds,-17.7333,-149.15,Pension Oaoa
1164,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
1168,Puerto Ayora,EC,77.25,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1171,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
1179,Grand Gaube,MU,85.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
1181,Butaritari,KI,81.19,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
1183,The Valley,AI,77.09,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
1187,Nampula,MZ,76.95,overcast clouds,-15.1165,39.2666,Ruby Backpackers
1188,Bien Hoa,VN,84.18,broken clouds,10.95,106.8167,OYO 991 Duy Anh Hotel
1190,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
1198,Bengkulu,ID,83.86,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
1201,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
1202,Butaritari,KI,81.19,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
1210,Hithadhoo,MV,82.02,clear sky,-0.6,73.0833,Scoop Guest House
1212,Saint-Philippe,RE,85.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
1217,Lorengau,PG,80.92,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
1219,Doha,QA,78.78,clear sky,25.2867,51.5333,Movenpick Hotel Doha
1223,Quatre Cocos,MU,85.08,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
1224,Port Moresby,PG,85.42,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
1225,Atuona,PF,78.87,broken clouds,-9.8,-139.0333,Villa Enata
1226,Kahului,US,75.85,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
1229,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,People ThankYou
1232,Saint-Philippe,RE,85.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
1234,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,People ThankYou
1241,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
1243,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,People ThankYou
1245,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
1248,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,People ThankYou
1251,Galle,LK,85.12,scattered clouds,6.0367,80.217,Amangalla
1258,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
1260,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,People ThankYou
1263,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,People ThankYou
1265,Hithadhoo,MV,82.02,clear sky,-0.6,73.0833,Scoop Guest House
1267,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
1270,Hithadhoo,MV,82.02,clear sky,-0.6,73.0833,Scoop Guest House
1272,Hambantota,LK,89.94,few clouds,6.1241,81.1185,Bungalow 63
1274,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,People ThankYou
1291,Tanete,ID,85.05,light rain,-3.9443,119.7848,Wisma Tri Multi
1294,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,People ThankYou
1295,Puerto Ayora,EC,77.25,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1296,Cap Malheureux,MU,85.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
1302,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,People ThankYou
1306,Buala,SB,80.74,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
