City_ID,City,Lat,Lng,Max Temp,% Humidity,% Cloudiness,Wind Speed,Country,Date,Weather description
975,Masuguru,-11.3667,38.4167,80.29,85,60,5.26,TZ,2022-03-29 08:50:29,moderate rain
976,Jamestown,42.097,-79.2353,22.59,63,100,9.22,US,2022-03-29 08:46:47,overcast clouds
977,Vaini,-21.2,-175.2,77.16,83,20,8.05,TO,2022-03-29 08:44:01,few clouds
978,Mataura,-46.1927,168.8643,55.44,92,100,1.5,NZ,2022-03-29 08:45:26,overcast clouds
979,Ekimchan,53.0667,132.9667,23.11,83,86,7.58,RU,2022-03-29 08:50:31,overcast clouds
980,Port Lincoln,-34.7333,135.8667,64.98,72,16,14.0,AU,2022-03-29 08:50:31,few clouds
981,Moorhead,46.8739,-96.7676,33.82,59,0,19.57,US,2022-03-29 08:50:32,clear sky
982,Punta Arenas,-53.15,-70.9167,39.31,65,0,12.66,CL,2022-03-29 08:49:10,clear sky
983,Bambous Virieux,-20.3428,57.7575,85.21,70,40,6.91,MU,2022-03-29 08:45:13,scattered clouds
984,San Andres,12.5847,-81.7006,80.62,78,40,14.97,CO,2022-03-29 08:50:33,scattered clouds
985,Provideniya,64.3833,-173.3,4.96,75,3,9.17,RU,2022-03-29 08:50:33,clear sky
986,Punta Arenas,-53.15,-70.9167,39.31,65,0,12.66,CL,2022-03-29 08:49:10,clear sky
987,Goderich,43.7501,-81.7165,25.92,54,100,11.5,CA,2022-03-29 08:50:34,overcast clouds
988,Ishigaki,24.3448,124.1572,75.33,83,75,14.97,JP,2022-03-29 08:50:35,broken clouds
989,Port Said,31.2565,32.2841,66.18,72,0,9.22,EG,2022-03-29 08:50:35,clear sky
990,Payo,-3.7508,103.6372,90.68,47,100,3.76,ID,2022-03-29 08:50:36,overcast clouds
991,Cidreira,-30.1811,-50.2056,69.21,85,1,15.28,BR,2022-03-29 08:46:48,clear sky
992,Nanortalik,60.1432,-45.2371,25.27,76,26,4.59,GL,2022-03-29 08:50:37,scattered clouds
993,Pacific Grove,36.6177,-121.9166,52.09,91,11,5.01,US,2022-03-29 08:48:28,few clouds
994,Ushuaia,-54.8,-68.3,38.86,81,75,18.41,AR,2022-03-29 08:41:30,broken clouds
995,Mataura,-46.1927,168.8643,55.44,92,100,1.5,NZ,2022-03-29 08:45:26,overcast clouds
996,Grindavik,63.8424,-22.4338,37.87,75,75,10.36,IS,2022-03-29 08:51:38,broken clouds
997,Albany,42.6001,-73.9662,18.68,63,24,1.99,US,2022-03-29 08:43:42,few clouds
998,Srednekolymsk,67.45,153.6833,-2.56,98,31,7.96,RU,2022-03-29 08:51:39,scattered clouds
